master_term,master_term_id,yearmo,month_no,skill_pos_cnt,total_pos_cnt,loop_no
NetSuite ERP,161,201404,4,5,33323,67
AWS Cloud,34,201906,66,304,102962,14
erwin,80,201608,32,77,104211,38
Security Testing and Auditing,204,201603,27,83,100182,84
Top Secret Security Clearance,274,201601,25,3,88469,106
Azure,251,201408,8,113,88809,99
Marketo,129,201709,45,6,114349,56
Apache HTTP Server,20,201601,25,1,88469,8
Switching and Routing,220,201507,19,201,97791,89
Linux Scripting,127,201508,20,50,94594,55
GIS Software,89,201703,39,8,110263,42
External Auditor,83,201401,1,15,33846,39
Stata,214,201710,46,4,128582,88
IBM Notes,103,201512,24,0,70310,46
SketchUp Pro,230,201905,65,15,140823,91
Certified Financial Planner,45,201804,52,0,119002,23
EnterpriseOne,171,201606,30,0,98515,71
erwin,80,201702,38,110,92181,38
Ruby on Rails,195,201503,15,29,102726,79
Content Strategy,62,201712,48,217,76994,28
SPSS Statistics,105,201806,54,3,122500,47
Pipe Welding,180,201504,16,78,96803,72
Cost Accounting,63,201812,60,111,82761,29
CICS,55,201412,12,26,63051,25
QlikView,186,201509,21,37,93766,74
Mastercam,58,201401,1,14,33846,26
Certified Credit Professional,44,201509,21,14,93766,22
ActiveX,2,201809,57,1,114604,1
Spring Boot,211,201904,64,583,132847,87
Microstation,36,201606,30,35,98515,16
Bash,35,201708,44,229,123189,15
Mastercam,58,201710,46,48,128582,26
Solr,22,201705,41,39,119820,9
Bash,35,201408,8,406,88809,15
AEM Developer,266,201904,64,93,132847,104
Typescript,260,201901,61,65,122037,102
Natural Language Processing,270,201604,28,46,91296,105
Agile Development,14,201501,13,890,93237,7
Natural Language Processing,270,201806,54,85,122500,105
Security Risk Management,203,201505,17,16,88049,83
NetSuite ERP,161,201810,58,20,138853,67
erwin,80,201509,21,33,93766,38
InfoSphere DataStage,102,201708,44,135,123189,45
QlikView,186,201511,23,78,89588,74
Sheet Metal Mechanic,206,201702,38,25,92181,86
Deployment,69,201409,9,3410,104405,33
Revit,33,201401,1,135,33846,13
Risk Analyst,192,201906,66,495,102962,76
VPN,241,201702,38,398,92181,95
InfoSphere DataStage,102,201601,25,125,88469,45
Pipe Welding,180,201509,21,72,93766,72
Revit,33,201504,16,117,96803,13
ASP.NET,28,201709,45,654,114349,10
Security Testing and Auditing,204,201402,2,19,27637,84
SQL Server Reporting Services,148,201711,47,137,102152,61
Security Testing and Auditing,204,201407,7,51,68567,84
Top Secret Security Clearance,274,201410,10,0,106289,106
NetSuite ERP,161,201808,56,91,149917,67
CICS,55,201711,47,21,102152,25
Revit,33,201511,23,195,89588,13
Ruby,194,201907,67,76,26524,78
ActiveX,2,201608,32,3,104211,1
Azure,251,201609,33,499,95325,99
Security Policies and Procedures,202,201903,63,125,123132,82
Ruby,194,201404,4,58,33323,78
Cognos Impromptu,100,201708,44,0,123189,44
Typescript,260,201807,55,105,119017,102
KornShell,120,201709,45,106,114349,52
Certified Anti Money Laundering Specialist,43,201604,28,0,91296,21
KornShell,120,201702,38,50,92181,52
Golang,91,201809,57,21,114604,43
Minitab,156,201901,61,56,122037,65
Dreamweaver,7,201404,4,10,33323,4
Internal Auditor,108,201801,49,82,115683,48
Microstation,36,201906,66,75,102962,16
SQL Server,147,201811,59,1737,111219,60
Workforce Now,13,201601,25,4,88469,6
Risk and Compliance,193,201708,44,89,123189,77
Certified Credit Professional,44,201603,27,26,100182,22
Mastercam,58,201508,20,14,94594,26
Certified Credit Professional,44,201711,47,4,102152,22
Secret Security Clearance,276,201509,21,46,93766,107
MySQL,158,201407,7,429,68567,66
SQL Server Reporting Services,148,201411,11,137,77278,61
Marketo,129,201408,8,20,88809,56
Apache HTTP Server,20,201408,8,2,88809,8
Risk Analyst,192,201408,8,341,88809,76
Certified Credit Professional,44,201406,6,4,32800,22
Linux  ,126,201702,38,2635,92181,54
SAP,198,201805,53,2473,124699,80
Chatbot,53,201707,43,26,101309,24
Online Analytical Processing,166,201812,60,57,82761,70
AEM Developer,266,201506,18,119,99253,104
Delphi Technology,68,201704,40,8,104890,32
AWS Cloud,34,201903,63,649,123132,14
Apache HTTP Server,20,201811,59,6,111219,8
Augmented Reality,30,201712,48,0,76994,11
Natural Language Processing,270,201506,18,66,99253,105
Visual Basic,238,201611,35,498,83334,93
VBScript,149,201505,17,90,88049,62
Security Risk Management,203,201503,15,85,102726,83
Computer Aided Design and Drafting,61,201511,23,13,89588,27
EnterpriseOne,171,201712,48,4,76994,71
Django,71,201507,19,3,97791,34
NetSuite ERP,161,201902,62,29,107087,67
Crystal Reports,65,201404,4,29,33323,30
SAS,201,201701,37,286,93237,81
VPN,241,201412,12,267,63051,95
SAS,201,201510,22,574,98076,81
InfoSphere DataStage,102,201811,59,73,111219,45
SAP,198,201806,54,2354,122500,80
Ruby,194,201709,45,263,114349,78
AWS Cloud,34,201802,50,388,109017,14
SQL Server,147,201612,36,598,62773,60
Junit,118,201508,20,539,94594,51
Internal Auditor,108,201505,17,11,88049,48
AutoCAD,31,201512,24,326,70310,12
SketchUp Pro,230,201809,57,4,114604,91
