master_term,master_term_id,yearmo,month_no,skill_pos_cnt,total_pos_cnt,loop_no
Risk and Compliance,193,201607,31,79,88166,77
Certified Credit Professional,44,201411,11,44,77278,22
Pipe Welding,180,201804,52,190,119002,72
Selenium,205,201807,55,798,119017,85
Cognos Impromptu,100,201409,9,41,104405,44
Crystal Reports,65,201709,45,41,114349,30
VBScript,149,201608,32,84,104211,62
Selenium,205,201606,30,866,98515,85
Mastercam,58,201602,26,18,87681,26
Bash,35,201509,21,225,93766,15
Blockchain,39,201712,48,2,76994,18
Certified Credit Professional,44,201809,57,38,114604,22
ActionScript,4,201702,38,19,92181,2
QuickBooks,109,201706,42,98,112365,49
Risk Analyst,192,201508,20,467,94594,76
SPSS Statistics,105,201505,17,16,88049,47
Cisco Application Centric Infrastructure,264,201803,51,85,121459,103
Natural Language Processing,270,201801,49,88,115683,105
The Raiser's Edge,37,201502,14,0,89734,17
Cognos Impromptu,100,201901,61,0,122037,44
XHTML,246,201801,49,65,115683,97
SQL Server,147,201902,62,1769,107087,60
Business Intelligence,41,201611,35,210,83334,19
MIG Welding,154,201902,62,577,107087,64
Selenium,205,201803,51,458,121459,85
Fireworks,8,201512,24,20,70310,5
Solr,22,201509,21,70,93766,9
Security Policies and Procedures,202,201603,27,73,100182,82
Data Entry Software,66,201403,3,4,32230,31
IBM Notes,103,201901,61,0,122037,46
SQL Server,147,201805,53,1762,124699,60
Dynamics,138,201710,46,2951,128582,58
Risk Analyst,192,201403,3,43,32230,76
Dodd-Frank,72,201804,52,35,119002,35
SAP,198,201407,7,984,68567,80
Online Analytical Processing,166,201605,29,42,89037,70
JCL,113,201506,18,532,99253,50
Chatbot,53,201502,14,0,89734,24
Minitab,156,201810,58,48,138853,65
Revit,33,201608,32,138,104211,13
WildFly,190,201406,6,45,32800,75
IBM Notes,103,201403,3,3,32230,46
Ruby,194,201810,58,590,138853,78
Cost Accounting,63,201604,28,40,91296,29
Internal Auditor,108,201508,20,28,94594,48
Network Support,163,201603,27,71,100182,68
Delphi Technology,68,201705,41,4,119820,32
Network Support,163,201510,22,115,98076,68
Cisco Application Centric Infrastructure,264,201707,43,2,101309,103
Sheet Metal Mechanic,206,201512,24,8,70310,86
Stata,214,201810,58,0,138853,88
IBM Notes,103,201408,8,0,88809,46
After Effects,5,201806,54,75,122500,3
Business Intelligence,41,201608,32,584,104211,19
Content Strategy,62,201404,4,1,33323,28
CICS,55,201811,59,64,111219,25
Blockchain,39,201403,3,0,32230,18
Secret Security Clearance,276,201710,46,45,128582,107
Visual Basic,238,201906,66,573,102962,93
PostgreSQL,182,201606,30,177,98515,73
JCL,113,201405,5,16,31909,50
EnterpriseOne,171,201406,6,0,32800,71
Cisco Application Centric Infrastructure,264,201508,20,0,94594,103
Mergers and Acquisitions,135,201702,38,37,92181,57
Django,71,201509,21,53,93766,34
Security Testing and Auditing,204,201903,63,214,123132,84
FileMaker Pro,85,201406,6,2,32800,40
Revit,33,201803,51,271,121459,13
QlikView,186,201701,37,86,93237,74
Mergers and Acquisitions,135,201401,1,6,33846,57
SQL Server Reporting Services,148,201512,24,201,70310,61
Kubernetes,121,201607,31,11,88166,53
Apache HTTP Server,20,201708,44,6,123189,8
ASP.NET,28,201811,59,517,111219,10
Fireworks,8,201403,3,14,32230,5
AWS Cloud,34,201510,22,380,98076,14
CATIA,42,201905,65,33,140823,20
KornShell,120,201506,18,51,99253,52
Stata,214,201404,4,0,33323,88
EnterpriseOne,171,201703,39,2,110263,71
Business Intelligence,41,201506,18,863,99253,19
Security Testing and Auditing,204,201504,16,138,96803,84
SolidWorks,259,201403,3,145,32230,101
Fireworks,8,201411,11,97,77278,5
Top Secret Security Clearance,274,201903,63,21,123132,106
ActionScript,4,201704,40,4,104890,2
Security Testing and Auditing,204,201905,65,315,140823,84
SAS,201,201410,10,391,106289,81
Pipe Welding,180,201802,50,144,109017,72
CATIA,42,201507,19,28,97791,20
Cost Accounting,63,201511,23,31,89588,29
The Raiser's Edge,37,201903,63,1,123132,17
Mastercam,58,201408,8,11,88809,26
SAS,201,201608,32,430,104211,81
After Effects,5,201802,50,22,109017,3
Mergers and Acquisitions,135,201407,7,135,68567,57
ActiveX,2,201401,1,2,33846,1
MySQL,158,201507,19,619,97791,66
Certified Credit Professional,44,201703,39,5,110263,22
Agile Development,14,201609,33,764,95325,7
Delphi Technology,68,201810,58,18,138853,32
Typescript,260,201804,52,37,119002,102
ActiveX,2,201605,29,4,89037,1
Delphi Technology,68,201502,14,7,89734,32
Natural Language Processing,270,201410,10,0,106289,105
ActiveX,2,201505,17,3,88049,1
Financial Industry Regulatory Authority,86,201509,21,8,93766,41
Data Entry Software,66,201806,54,540,122500,31
MicroStrategy,153,201702,38,138,92181,63
Minitab,156,201610,34,193,95676,65
Spring Boot,211,201512,24,2,70310,87
Online Analytical Processing,166,201807,55,14,119017,70
End User Support,253,201412,12,95,63051,100
Crystal Reports,65,201904,64,33,132847,30
Cisco Application Centric Infrastructure,264,201602,26,3,87681,103
Security Testing and Auditing,204,201907,67,18,26524,84
ASP.NET,28,201501,13,757,93237,10
Risk Analyst,192,201902,62,689,107087,76
FileMaker Pro,85,201603,27,2,100182,40
Data Entry Software,66,201704,40,107,104890,31
SketchUp Pro,230,201803,51,70,121459,91
Certified Financial Planner,45,201809,57,0,114604,23
Web Security and Encryption,242,201712,48,102,76994,96
Spring Boot,211,201703,39,161,110263,87
Top Secret Security Clearance,274,201608,32,24,104211,106
Dodd-Frank,72,201509,21,102,93766,35
Blockchain,39,201609,33,0,95325,18
ActionScript,4,201810,58,0,138853,2
Typescript,260,201704,40,71,104890,102
TIG Welding,229,201606,30,242,98515,90
Selenium,205,201610,34,366,95676,85
Content Strategy,62,201804,52,80,119002,28
EnterpriseOne,171,201509,21,7,93766,71
SAP,198,201802,50,2458,109017,80
Security Testing and Auditing,204,201606,30,141,98515,84
Computer Aided Design and Drafting,61,201504,16,29,96803,27
Internal Auditor,108,201701,37,24,93237,48
Web Security and Encryption,242,201706,42,261,112365,96
Internal Auditor,108,201507,19,6,97791,48
TIG Welding,229,201609,33,201,95325,90
Agile Development,14,201610,34,910,95676,7
The Raiser's Edge,37,201511,23,2,89588,17
Financial Industry Regulatory Authority,86,201612,36,17,62773,41
Junit,118,201404,4,36,33323,51
Bash,35,201409,9,237,104405,15
Business Intelligence,41,201709,45,583,114349,19
Crystal Reports,65,201507,19,64,97791,30
Top Secret Security Clearance,274,201902,62,3,107087,106
SQL Server,147,201905,65,2166,140823,60
Blockchain,39,201702,38,1,92181,18
SAS,201,201609,33,309,95325,81
FileMaker Pro,85,201408,8,1,88809,40
KornShell,120,201602,26,62,87681,52
MicroStrategy,153,201612,36,50,62773,63
ASP.NET,28,201604,28,770,91296,10
erwin,80,201902,62,23,107087,38
Epic Systems,79,201401,1,99,33846,37
Online Analytical Processing,166,201811,59,59,111219,70
Dynamics,138,201806,54,2818,122500,58
Drupal,73,201907,67,7,26524,36
Cost Accounting,63,201407,7,25,68567,29
Ruby on Rails,195,201612,36,10,62773,79
Business Intelligence,41,201408,8,433,88809,19
Augmented Reality,30,201904,64,15,132847,11
CATIA,42,201509,21,42,93766,20
Natural Language Processing,270,201504,16,2,96803,105
Spring Boot,211,201705,41,162,119820,87
SAS,201,201802,50,328,109017,81
QlikView,186,201507,19,112,97791,74
Online Analytical Processing,166,201504,16,110,96803,70
Crystal Reports,65,201702,38,43,92181,30
JCL,113,201906,66,174,102962,50
WildFly,190,201703,39,755,110263,75
Certified Financial Planner,45,201501,13,1,93237,23
Microstation,36,201905,65,66,140823,16
Golang,91,201503,15,1,102726,43
SAP,198,201709,45,1448,114349,80
Security Policies and Procedures,202,201412,12,21,63051,82
Django,71,201711,47,18,102152,34
Data Entry Software,66,201802,50,504,109017,31
After Effects,5,201601,25,139,88469,3
NoSQL,165,201401,1,44,33846,69
Cognos Impromptu,100,201710,46,26,128582,44
Ruby,194,201707,43,225,101309,78
Stata,214,201608,32,1,104211,88
Azure,251,201904,64,1283,132847,99
VOIP,240,201707,43,277,101309,94
Workforce Now,13,201804,52,6,119002,6
Minitab,156,201412,12,10,63051,65
NetSuite ERP,161,201801,49,26,115683,67
Top Secret Security Clearance,274,201704,40,5,104890,106
Apache HTTP Server,20,201710,46,61,128582,8
Crystal Reports,65,201501,13,119,93237,30
After Effects,5,201901,61,122,122037,3
Linux Scripting,127,201808,56,15,149917,55
NetSuite ERP,161,201807,55,22,119017,67
SAP,198,201707,43,1876,101309,80
ActiveX,2,201606,30,0,98515,1
Solr,22,201711,47,29,102152,9
SQL Server Reporting Services,148,201905,65,720,140823,61
KornShell,120,201411,11,32,77278,52
Network Support,163,201507,19,63,97791,68
SQL Server,147,201706,42,1837,112365,60
SQL Server,147,201907,67,126,26524,60
MySQL,158,201405,5,87,31909,66
ASP.NET,28,201406,6,196,32800,10
QlikView,186,201709,45,19,114349,74
SQL Server Reporting Services,148,201606,30,135,98515,61
Drupal,73,201901,61,45,122037,36
Dreamweaver,7,201904,64,63,132847,4
Deployment,69,201710,46,3666,128582,33
Mergers and Acquisitions,135,201907,67,3,26524,57
Workforce Now,13,201806,54,5,122500,6
SAS,201,201705,41,214,119820,81
Stata,214,201701,37,31,93237,88
Yardi,248,201703,39,7,110263,98
PostgreSQL,182,201604,28,98,91296,73
Financial Industry Regulatory Authority,86,201811,59,7,111219,41
MicroStrategy,153,201502,14,31,89734,63
Secret Security Clearance,276,201811,59,21,111219,107
Chatbot,53,201508,20,0,94594,24
Content Strategy,62,201803,51,167,121459,28
ActionScript,4,201902,62,22,107087,2
KornShell,120,201404,4,9,33323,52
Bash,35,201609,33,203,95325,15
Kubernetes,121,201612,36,61,62773,53
End User Support,253,201604,28,299,91296,100
Marketo,129,201605,29,36,89037,56
WildFly,190,201701,37,385,93237,75
JCL,113,201809,57,240,114604,50
NoSQL,165,201612,36,306,62773,69
QlikView,186,201605,29,7,89037,74
KornShell,120,201905,65,73,140823,52
Risk and Compliance,193,201711,47,111,102152,77
Cognos Impromptu,100,201403,3,0,32230,44
Stata,214,201401,1,0,33846,88
Natural Language Processing,270,201710,46,128,128582,105
PostgreSQL,182,201503,15,14,102726,73
Apache HTTP Server,20,201505,17,15,88049,8
Top Secret Security Clearance,274,201411,11,0,77278,106
Computer Aided Design and Drafting,61,201805,53,93,124699,27
NetSuite ERP,161,201408,8,5,88809,67
T-SQL,232,201706,42,66,112365,92
Kubernetes,121,201507,19,3,97791,53
Golang,91,201405,5,0,31909,43
Linux Scripting,127,201411,11,151,77278,55
External Auditor,83,201512,24,32,70310,39
Microstation,36,201804,52,80,119002,16
Solr,22,201612,36,57,62773,9
Content Strategy,62,201512,24,39,70310,28
AEM Developer,266,201610,34,43,95676,104
SPSS Statistics,105,201611,35,89,83334,47
Ruby,194,201608,32,460,104211,78
KornShell,120,201410,10,50,106289,52
Yardi,248,201410,10,4,106289,98
SAP,198,201605,29,1374,89037,80
erwin,80,201801,49,6,115683,38
Certified Anti Money Laundering Specialist,43,201509,21,0,93766,21
Bash,35,201608,32,220,104211,15
Marketo,129,201906,66,15,102962,56
EnterpriseOne,171,201705,41,1,119820,71
Business Intelligence,41,201906,66,555,102962,19
Cisco Application Centric Infrastructure,264,201607,31,0,88166,103
SketchUp Pro,230,201703,39,67,110263,91
SQL Server,147,201901,61,1907,122037,60
Stata,214,201507,19,1,97791,88
Blockchain,39,201611,35,0,83334,18
Visual Basic,238,201404,4,32,33323,93
MicroStrategy,153,201903,63,68,123132,63
End User Support,253,201709,45,197,114349,100
NetSuite ERP,161,201904,64,45,132847,67
SAP,198,201612,36,941,62773,80
SQL Server,147,201711,47,758,102152,60
AutoCAD,31,201409,9,539,104405,12
Dodd-Frank,72,201410,10,25,106289,35
Data Entry Software,66,201801,49,383,115683,31
Apache HTTP Server,20,201404,4,1,33323,8
EnterpriseOne,171,201511,23,3,89588,71
Spring Boot,211,201601,25,7,88469,87
MySQL,158,201709,45,368,114349,66
Risk Analyst,192,201602,26,375,87681,76
erwin,80,201610,34,22,95676,38
Ruby,194,201802,50,342,109017,78
MySQL,158,201811,59,449,111219,66
Switching and Routing,220,201409,9,166,104405,89
XHTML,246,201504,16,161,96803,97
SQL Server,147,201505,17,1712,88049,60
Dreamweaver,7,201601,25,48,88469,4
XHTML,246,201505,17,15,88049,97
Secret Security Clearance,276,201504,16,5,96803,107
Natural Language Processing,270,201607,31,3,88166,105
Content Strategy,62,201509,21,69,93766,28
KornShell,120,201701,37,41,93237,52
Crystal Reports,65,201609,33,47,95325,30
End User Support,253,201405,5,62,31909,100
Internal Auditor,108,201902,62,143,107087,48
After Effects,5,201801,49,16,115683,3
WildFly,190,201509,21,434,93766,75
VPN,241,201711,47,291,102152,95
Certified Credit Professional,44,201408,8,36,88809,22
JCL,113,201601,25,91,88469,50
MySQL,158,201806,54,559,122500,66
GIS Software,89,201907,67,55,26524,42
Deployment,69,201511,23,2935,89588,33
Content Strategy,62,201701,37,126,93237,28
Agile Development,14,201901,61,1404,122037,7
Linux  ,126,201604,28,1936,91296,54
Marketo,129,201606,30,21,98515,56
Golang,91,201504,16,0,96803,43
Online Analytical Processing,166,201711,47,29,102152,70
Minitab,156,201502,14,22,89734,65
GIS Software,89,201601,25,17,88469,42
NoSQL,165,201409,9,129,104405,69
Certified Financial Planner,45,201703,39,0,110263,23
Delphi Technology,68,201812,60,1,82761,32
VBScript,149,201812,60,143,82761,62
T-SQL,232,201810,58,99,138853,92
WildFly,190,201409,9,776,104405,75
Switching and Routing,220,201611,35,324,83334,89
Risk Analyst,192,201706,42,1064,112365,76
Certified Anti Money Laundering Specialist,43,201502,14,0,89734,21
Network Support,163,201509,21,54,93766,68
Yardi,248,201602,26,3,87681,98
erwin,80,201505,17,44,88049,38
External Auditor,83,201503,15,135,102726,39
ActionScript,4,201805,53,1,124699,2
SAS,201,201501,13,543,93237,81
SolidWorks,259,201706,42,315,112365,101
Certified Credit Professional,44,201806,54,12,122500,22
Linux  ,126,201509,21,2860,93766,54
Cognos Impromptu,100,201602,26,11,87681,44
Junit,118,201802,50,126,109017,51
End User Support,253,201505,17,324,88049,100
Agile Development,14,201505,17,908,88049,7
Certified Financial Planner,45,201502,14,1,89734,23
Content Strategy,62,201801,49,230,115683,28
Risk and Compliance,193,201504,16,90,96803,77
Ruby,194,201402,2,59,27637,78
GIS Software,89,201503,15,25,102726,42
FileMaker Pro,85,201410,10,4,106289,40
ActiveX,2,201502,14,13,89734,1
MySQL,158,201403,3,86,32230,66
Dreamweaver,7,201403,3,18,32230,4
Bash,35,201407,7,360,68567,15
Internal Auditor,108,201809,57,90,114604,48
KornShell,120,201501,13,85,93237,52
Internal Auditor,108,201603,27,27,100182,48
Kubernetes,121,201505,17,24,88049,53
Deployment,69,201902,62,3641,107087,33
Computer Aided Design and Drafting,61,201404,4,14,33323,27
VPN,241,201602,26,894,87681,95
Certified Anti Money Laundering Specialist,43,201807,55,11,119017,21
QuickBooks,109,201705,41,47,119820,49
Apache HTTP Server,20,201403,3,0,32230,8
Chatbot,53,201409,9,0,104405,24
Epic Systems,79,201906,66,268,102962,37
T-SQL,232,201603,27,142,100182,92
Augmented Reality,30,201610,34,0,95676,11
CATIA,42,201601,25,33,88469,20
Blockchain,39,201404,4,0,33323,18
CICS,55,201701,37,35,93237,25
Data Entry Software,66,201410,10,596,106289,31
PostgreSQL,182,201811,59,305,111219,73
Mergers and Acquisitions,135,201802,50,73,109017,57
Linux  ,126,201512,24,1969,70310,54
Outlook,142,201505,17,2598,88049,59
T-SQL,232,201404,4,27,33323,92
SQL Server Reporting Services,148,201712,48,219,76994,61
MySQL,158,201711,47,466,102152,66
Security Risk Management,203,201808,56,6,149917,83
ActionScript,4,201804,52,0,119002,2
GIS Software,89,201802,50,6,109017,42
PostgreSQL,182,201907,67,18,26524,73
Deployment,69,201607,31,3077,88166,33
SPSS Statistics,105,201805,53,59,124699,47
QlikView,186,201601,25,14,88469,74
VOIP,240,201411,11,184,77278,94
Internal Auditor,108,201702,38,23,92181,48
Security Risk Management,203,201708,44,20,123189,83
Revit,33,201905,65,170,140823,13
AEM Developer,266,201606,30,64,98515,104
VOIP,240,201801,49,140,115683,94
Financial Industry Regulatory Authority,86,201607,31,25,88166,41
Security Risk Management,203,201511,23,37,89588,83
Selenium,205,201701,37,548,93237,85
Outlook,142,201807,55,4263,119017,59
Agile Development,14,201705,41,1558,119820,7
Secret Security Clearance,276,201403,3,26,32230,107
Security Risk Management,203,201607,31,4,88166,83
Data Entry Software,66,201703,39,229,110263,31
Ruby on Rails,195,201607,31,16,88166,79
SQL Server,147,201807,55,1476,119017,60
Golang,91,201506,18,1,99253,43
ActiveX,2,201411,11,0,77278,1
NetSuite ERP,161,201803,51,38,121459,67
Dreamweaver,7,201603,27,82,100182,4
VBScript,149,201404,4,33,33323,62
Fireworks,8,201906,66,1,102962,5
Chatbot,53,201810,58,20,138853,24
Business Intelligence,41,201812,60,465,82761,19
Dodd-Frank,72,201710,46,8,128582,35
AWS Cloud,34,201406,6,16,32800,14
Outlook,142,201907,67,330,26524,59
AutoCAD,31,201712,48,377,76994,12
End User Support,253,201809,57,127,114604,100
Visual Basic,238,201502,14,1449,89734,93
CICS,55,201607,31,170,88166,25
Risk and Compliance,193,201806,54,344,122500,77
WildFly,190,201811,59,340,111219,75
Epic Systems,79,201806,54,304,122500,37
Junit,118,201805,53,399,124699,51
VBScript,149,201905,65,20,140823,62
IBM Notes,103,201709,45,0,114349,46
InfoSphere DataStage,102,201512,24,9,70310,45
SQL Server Reporting Services,148,201807,55,202,119017,61
Dynamics,138,201904,64,3863,132847,58
Azure,251,201803,51,1054,121459,99
ActiveX,2,201506,18,0,99253,1
QlikView,186,201410,10,45,106289,74
Online Analytical Processing,166,201710,46,174,128582,70
Epic Systems,79,201904,64,548,132847,37
Ruby,194,201801,49,260,115683,78
ActiveX,2,201808,56,4,149917,1
Dreamweaver,7,201906,66,5,102962,4
Augmented Reality,30,201503,15,1,102726,11
MySQL,158,201406,6,100,32800,66
SQL Server Reporting Services,148,201612,36,77,62773,61
Kubernetes,121,201601,25,37,88469,53
Apache HTTP Server,20,201405,5,0,31909,8
NoSQL,165,201411,11,248,77278,69
Dreamweaver,7,201607,31,95,88166,4
Dodd-Frank,72,201809,57,13,114604,35
Drupal,73,201402,2,22,27637,36
End User Support,253,201704,40,124,104890,100
MicroStrategy,153,201507,19,64,97791,63
Internal Auditor,108,201704,40,21,104890,48
Dreamweaver,7,201805,53,42,124699,4
Linux Scripting,127,201404,4,5,33323,55
Ruby on Rails,195,201709,45,31,114349,79
erwin,80,201710,46,5,128582,38
ASP.NET,28,201504,16,1220,96803,10
Cost Accounting,63,201408,8,54,88809,29
Linux  ,126,201901,61,3304,122037,54
Typescript,260,201801,49,160,115683,102
SAS,201,201803,51,195,121459,81
Crystal Reports,65,201603,27,133,100182,30
Ruby,194,201507,19,425,97791,78
Solr,22,201406,6,5,32800,9
Cisco Application Centric Infrastructure,264,201408,8,0,88809,103
Minitab,156,201611,35,90,83334,65
Web Security and Encryption,242,201612,36,27,62773,96
ASP.NET,28,201612,36,389,62773,10
Yardi,248,201802,50,5,109017,98
Microstation,36,201605,29,44,89037,16
erwin,80,201407,7,32,68567,38
VPN,241,201609,33,599,95325,95
GIS Software,89,201507,19,40,97791,42
Deployment,69,201512,24,2808,70310,33
Risk and Compliance,193,201804,52,251,119002,77
Outlook,142,201801,49,3390,115683,59
SolidWorks,259,201402,2,151,27637,101
MIG Welding,154,201505,17,326,88049,64
Web Security and Encryption,242,201510,22,96,98076,96
SketchUp Pro,230,201711,47,14,102152,91
Junit,118,201903,63,755,123132,51
Microstation,36,201406,6,33,32800,16
Bash,35,201505,17,400,88049,15
Sheet Metal Mechanic,206,201606,30,55,98515,86
Dreamweaver,7,201807,55,47,119017,4
Azure,251,201708,44,804,123189,99
MicroStrategy,153,201906,66,233,102962,63
AEM Developer,266,201603,27,87,100182,104
Outlook,142,201809,57,3435,114604,59
KornShell,120,201403,3,11,32230,52
Drupal,73,201407,7,20,68567,36
NoSQL,165,201901,61,470,122037,69
Switching and Routing,220,201510,22,333,98076,89
KornShell,120,201607,31,76,88166,52
T-SQL,232,201801,49,88,115683,92
ActionScript,4,201706,42,6,112365,2
Kubernetes,121,201906,66,270,102962,53
CATIA,42,201408,8,64,88809,20
Crystal Reports,65,201412,12,59,63051,30
Blockchain,39,201707,43,2,101309,18
ActionScript,4,201606,30,33,98515,2
Apache HTTP Server,20,201502,14,2,89734,8
Content Strategy,62,201506,18,6,99253,28
Top Secret Security Clearance,274,201407,7,0,68567,106
Apache HTTP Server,20,201609,33,29,95325,8
Certified Credit Professional,44,201907,67,2,26524,22
Azure,251,201510,22,431,98076,99
Kubernetes,121,201606,30,28,98515,53
Deployment,69,201412,12,2271,63051,33
Marketo,129,201604,28,21,91296,56
Augmented Reality,30,201804,52,6,119002,11
Mastercam,58,201806,54,24,122500,26
Certified Anti Money Laundering Specialist,43,201811,59,1,111219,21
Top Secret Security Clearance,274,201402,2,0,27637,106
FileMaker Pro,85,201512,24,24,70310,40
Azure,251,201405,5,20,31909,99
NetSuite ERP,161,201511,23,6,89588,67
Solr,22,201905,65,118,140823,9
Agile Development,14,201401,1,141,33846,7
Internal Auditor,108,201407,7,8,68567,48
VBScript,149,201902,62,131,107087,62
Microstation,36,201604,28,78,91296,16
SAP,198,201607,31,1263,88166,80
Internal Auditor,108,201410,10,100,106289,48
Apache HTTP Server,20,201409,9,34,104405,8
CATIA,42,201712,48,19,76994,20
Network Support,163,201609,33,103,95325,68
Content Strategy,62,201902,62,141,107087,28
AEM Developer,266,201807,55,184,119017,104
VOIP,240,201807,55,202,119017,94
Yardi,248,201808,56,3,149917,98
After Effects,5,201602,26,116,87681,3
NoSQL,165,201508,20,573,94594,69
NetSuite ERP,161,201405,5,3,31909,67
Cost Accounting,63,201807,55,83,119017,29
QlikView,186,201608,32,22,104211,74
SQL Server Reporting Services,148,201812,60,210,82761,61
Apache HTTP Server,20,201812,60,1,82761,8
Cisco Application Centric Infrastructure,264,201609,33,0,95325,103
SQL Server Reporting Services,148,201705,41,289,119820,61
Yardi,248,201710,46,6,128582,98
XHTML,246,201510,22,144,98076,97
SolidWorks,259,201806,54,235,122500,101
The Raiser's Edge,37,201608,32,1,104211,17
Computer Aided Design and Drafting,61,201507,19,99,97791,27
T-SQL,232,201412,12,19,63051,92
T-SQL,232,201602,26,143,87681,92
Cisco Application Centric Infrastructure,264,201904,64,25,132847,103
Secret Security Clearance,276,201508,20,22,94594,107
SPSS Statistics,105,201609,33,55,95325,47
SQL Server,147,201406,6,359,32800,60
Risk Analyst,192,201401,1,44,33846,76
ASP.NET,28,201605,29,338,89037,10
Security Risk Management,203,201408,8,20,88809,83
SQL Server,147,201509,21,1813,93766,60
Natural Language Processing,270,201511,23,23,89588,105
Yardi,248,201610,34,2,95676,98
JCL,113,201710,46,184,128582,50
VPN,241,201706,42,503,112365,95
Stata,214,201402,2,0,27637,88
SolidWorks,259,201601,25,356,88469,101
AEM Developer,266,201701,37,108,93237,104
Chatbot,53,201402,2,0,27637,24
NetSuite ERP,161,201703,39,18,110263,67
Mergers and Acquisitions,135,201901,61,25,122037,57
Switching and Routing,220,201412,12,235,63051,89
Internal Auditor,108,201503,15,12,102726,48
Security Policies and Procedures,202,201605,29,92,89037,82
MicroStrategy,153,201902,62,105,107087,63
Computer Aided Design and Drafting,61,201408,8,106,88809,27
Dreamweaver,7,201702,38,17,92181,4
VBScript,149,201407,7,96,68567,62
AEM Developer,266,201812,60,27,82761,104
The Raiser's Edge,37,201701,37,2,93237,17
Security Testing and Auditing,204,201511,23,146,89588,84
JCL,113,201605,29,235,89037,50
Spring Boot,211,201902,62,470,107087,87
MIG Welding,154,201405,5,382,31909,64
SPSS Statistics,105,201602,26,46,87681,47
VPN,241,201403,3,122,32230,95
T-SQL,232,201510,22,276,98076,92
Cisco Application Centric Infrastructure,264,201805,53,7,124699,103
Cisco Application Centric Infrastructure,264,201606,30,0,98515,103
Certified Anti Money Laundering Specialist,43,201905,65,16,140823,21
Financial Industry Regulatory Authority,86,201802,50,27,109017,41
Ruby,194,201703,39,491,110263,78
Sheet Metal Mechanic,206,201804,52,33,119002,86
Business Intelligence,41,201805,53,789,124699,19
SAS,201,201901,61,547,122037,81
SAS,201,201810,58,469,138853,81
Business Intelligence,41,201606,30,438,98515,19
Certified Credit Professional,44,201905,65,183,140823,22
End User Support,253,201811,59,102,111219,100
Delphi Technology,68,201507,19,22,97791,32
MicroStrategy,153,201904,64,182,132847,63
SPSS Statistics,105,201607,31,20,88166,47
Computer Aided Design and Drafting,61,201602,26,29,87681,27
External Auditor,83,201701,37,68,93237,39
Marketo,129,201808,56,5,149917,56
Mastercam,58,201604,28,13,91296,26
AWS Cloud,34,201405,5,9,31909,14
Dreamweaver,7,201802,50,108,109017,4
Delphi Technology,68,201401,1,3,33846,32
VPN,241,201707,43,423,101309,95
Agile Development,14,201902,62,1075,107087,7
Blockchain,39,201708,44,0,123189,18
Data Entry Software,66,201608,32,101,104211,31
Epic Systems,79,201507,19,283,97791,37
Top Secret Security Clearance,274,201605,29,3,89037,106
Outlook,142,201609,33,3221,95325,59
VBScript,149,201703,39,84,110263,62
InfoSphere DataStage,102,201603,27,16,100182,45
ASP.NET,28,201803,51,710,121459,10
AWS Cloud,34,201602,26,556,87681,14
Revit,33,201507,19,121,97791,13
Content Strategy,62,201602,26,100,87681,28
Online Analytical Processing,166,201402,2,17,27637,70
EnterpriseOne,171,201607,31,3,88166,71
AWS Cloud,34,201603,27,664,100182,14
Natural Language Processing,270,201507,19,0,97791,105
Sheet Metal Mechanic,206,201812,60,56,82761,86
SPSS Statistics,105,201501,13,24,93237,47
Stata,214,201606,30,2,98515,88
Kubernetes,121,201803,51,110,121459,53
SketchUp Pro,230,201801,49,69,115683,91
Typescript,260,201903,63,436,123132,102
Risk and Compliance,193,201611,35,138,83334,77
Ruby,194,201612,36,328,62773,78
Mergers and Acquisitions,135,201609,33,47,95325,57
NoSQL,165,201806,54,431,122500,69
Cognos Impromptu,100,201705,41,12,119820,44
InfoSphere DataStage,102,201510,22,73,98076,45
Mergers and Acquisitions,135,201603,27,41,100182,57
VBScript,149,201702,38,67,92181,62
Bash,35,201810,58,448,138853,15
Delphi Technology,68,201709,45,18,114349,32
End User Support,253,201511,23,279,89588,100
Cisco Application Centric Infrastructure,264,201807,55,2,119017,103
Revit,33,201508,20,115,94594,13
ASP.NET,28,201403,3,213,32230,10
Cognos Impromptu,100,201811,59,0,111219,44
SolidWorks,259,201905,65,294,140823,101
Visual Basic,238,201409,9,1745,104405,93
Cisco Application Centric Infrastructure,264,201505,17,1,88049,103
Kubernetes,121,201903,63,495,123132,53
Pipe Welding,180,201603,27,29,100182,72
Fireworks,8,201605,29,44,89037,5
Certified Anti Money Laundering Specialist,43,201704,40,0,104890,21
AWS Cloud,34,201505,17,591,88049,14
CICS,55,201601,25,79,88469,25
Revit,33,201506,18,104,99253,13
Security Policies and Procedures,202,201604,28,173,91296,82
Revit,33,201904,64,168,132847,13
SolidWorks,259,201404,4,150,33323,101
The Raiser's Edge,37,201604,28,2,91296,17
VBScript,149,201401,1,29,33846,62
Kubernetes,121,201410,10,0,106289,53
After Effects,5,201902,62,41,107087,3
Linux Scripting,127,201712,48,61,76994,55
CICS,55,201510,22,253,98076,25
Dynamics,138,201406,6,401,32800,58
Certified Financial Planner,45,201407,7,1,68567,23
Bash,35,201602,26,206,87681,15
Stata,214,201512,24,0,70310,88
Azure,251,201509,21,283,93766,99
NoSQL,165,201501,13,214,93237,69
Kubernetes,121,201701,37,3,93237,53
JCL,113,201610,34,114,95676,50
External Auditor,83,201505,17,107,88049,39
